Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Rollover,2,2,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,3,1,Going straight,Passenger,31-50,Changing lane to the right,Slight Injury
Over 51,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,31-50,Driving under the influence of drugs,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Passenger,18-30,No priority to vehicle,Slight Injury
Unknown,Employee,Above 10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,3,3,Moving Backward,Passenger,Over 51,No priority to vehicle,Slight Injury
Unknown,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,na,na,Changing lane to the left,Slight Injury
Unknown,Owner,2-5yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Collision with pedestrians,3,3,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
Unknown,Employee,1-2yr,,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Collision with pedestrians,3,3,Moving Backward,Pedestrian,18-30,Changing lane to the right,Slight Injury
Unknown,Employee,2-5yr,Other,other,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,3,3,Going straight,Pedestrian,18-30,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr,Office areas,,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Over 51,Changing lane to the left,Slight Injury
18-30,,,School areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury
Over 51,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
31-50,Other,Above 10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Other,Passenger,18-30,Driving under the influence of drugs,Slight Injury
31-50,Employee,1-2yr,Office areas,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,Driving carelessly,Slight Injury
18-30,Owner,,Other,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Residential areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Reversing,na,na,No distancing,Slight Injury
Unknown,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Overturning,Slight Injury
Unknown,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,18-30,Changing lane to the left,Slight Injury
18-30,Employee,5-10yr, Church areas,,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,18-30,No distancing,Slight Injury
Unknown,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,2,2,Moving Backward,na,na,Moving Backward,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,Passenger,18-30,No priority to vehicle,Slight Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,No distancing,Slight Injury
Unknown,Employee,2-5yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,Overtaking,Slight Injury
Under 18,Employee,5-10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,31-50,Driving under the influence of drugs,Slight Injury
18-30,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,  Recreational areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Changing lane to the left,Slight Injury
31-50,Employee,5-10yr,Residential areas,,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Under 18,Driving carelessly,Slight Injury
Under 18,Employee,5-10yr,Office areas,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,Moving Backward,Slight Injury
Over 51,Employee,Above 10yr,  Recreational areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
Unknown,Employee,2-5yr,Office areas,other,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Under 18,Changing lane to the right,Slight Injury
Over 51,Employee,5-10yr, Industrial areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,18-30,No priority to vehicle,Slight Injury
Over 51,,,,,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving at high speed,Slight Injury
31-50,Employee,5-10yr,Residential areas,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,6,Going straight,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
31-50,Employee,,Residential areas,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,6,Going straight,na,na,Changing lane to the right,Slight Injury
Under 18,Employee,, Industrial areas,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,6,Going straight,Pedestrian,18-30,Driving carelessly,Slight Injury
Under 18,Employee,1-2yr,Residential areas,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,6,Going straight,Pedestrian,Over 51,No distancing,Slight Injury
Under 18,Owner,5-10yr,Residential areas,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,6,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Under 18,Employee,2-5yr,Office areas,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,6,Getting off,Passenger,18-30,No distancing,Slight Injury
31-50,Owner,5-10yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,No distancing,Slight Injury
31-50,Employee,2-5yr,Office areas,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,Other,na,na,Getting off the vehicle improperly,Slight Injury
18-30,Employee,Above 10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,Overtaking,Slight Injury
Unknown,Employee,Below 1yr,Office areas,One way,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
18-30,Employee,Below 1yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
31-50,Owner,,Office areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury
Under 18,Employee,2-5yr,Residential areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Overturning,Slight Injury
18-30,,,Residential areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,3,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
Unknown,Employee,No Licence,Other,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,18-30,Changing lane to the right,Slight Injury
Unknown,Employee,Above 10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Unknown,Owner,Above 10yr,  Recreational areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,na,na,No distancing,Slight Injury
Under 18,Employee,Above 10yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,No distancing,Slight Injury
Under 18,Employee,Above 10yr,Residential areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,No priority to vehicle,Slight Injury
Under 18,Owner,5-10yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
Unknown,Employee,Below 1yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,Moving Backward,Slight Injury
Under 18,Employee,2-5yr,  Market areas,Undivided Two way,No junction,Asphalt roads,Daylight,Raining and Windy,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,18-30,Getting off the vehicle improperly,Slight Injury
Under 18,Employee,,Unknown,other,No junction,Asphalt roads,Daylight,Raining and Windy,Collision with roadside objects,2,2,Moving Backward,Pedestrian,Over 51,Changing lane to the left,Slight Injury
Over 51,Employee,1-2yr, Industrial areas,other,No junction,Asphalt roads,Daylight,Raining and Windy,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,18-30,Changing lane to the left,Slight Injury
Unknown,Employee,1-2yr,Residential areas,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,No priority to vehicle,Slight Injury
Unknown,Employee,1-2yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,5,Changing lane to the right,Slight Injury
31-50,Employee,Above 10yr,Residential areas,other,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
Under 18,Employee,Above 10yr,Rural village areas,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
31-50,Employee,5-10yr,Rural village areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,,na,na,Driving under the influence of drugs,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,na,na,Driving carelessly,Serious Injury
Over 51,Employee,1-2yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Over 51,No distancing,Serious Injury
18-30,Employee,5-10yr, Outside rural areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,,na,na,No priority to vehicle,Slight Injury
Unknown,Employee,Below 1yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Passenger,31-50,No priority to vehicle,Slight Injury
Under 18,Employee,5-10yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,3,4,Reversing,na,na,No priority to vehicle,Slight Injury
Under 18,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Windy,Rollover,3,4,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Collision with roadside objects,3,4,Other,Driver or rider,Over 51,Moving Backward,Slight Injury
Under 18,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,3,4,Moving Backward,na,na,Driving carelessly,Slight Injury
31-50,Employee,Above 10yr,Other,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Over 51,Driving under the influence of drugs,Slight Injury
18-30,Employee,1-2yr,Other,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Other,Passenger,31-50,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Passenger,31-50,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Under 18,Changing lane to the right,Slight Injury
Under 18,Owner,1-2yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Under 18,Driving to the left,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,2,1,Moving Backward,Passenger,Under 18,Moving Backward,Slight Injury
31-50,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Under 18,No priority to vehicle,Slight Injury
Over 51,Owner,2-5yr,Other,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Getting off,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Under 18,Driving carelessly,Slight Injury
31-50,Employee,1-2yr, Church areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
31-50,Employee,1-2yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,No priority to vehicle,Slight Injury
31-50,Employee,1-2yr, Industrial areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Passenger,Over 51,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr,Residential areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,31-50,No distancing,Slight Injury
18-30,,,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,na,na,Driving to the left,Slight Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,5,Driving carelessly,Slight Injury
18-30,Owner,5-10yr, Industrial areas,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
Over 51,Employee,5-10yr, Industrial areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,4,Moving Backward,na,na,Changing lane to the right,Slight Injury
31-50,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
Unknown,Employee,5-10yr, Hospital areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Changing lane to the left,Slight Injury
31-50,Owner,1-2yr,Office areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,Driving carelessly,Slight Injury
31-50,Employee,2-5yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,Driving carelessly,Slight Injury
31-50,Owner,5-10yr, Hospital areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,31-50,Driving under the influence of drugs,Slight Injury
31-50,Owner,Above 10yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Serious Injury
31-50,Owner,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Driving carelessly,Serious Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Driving to the left,Slight Injury
31-50,Employee,2-5yr,Other,Double carriageway (median),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Overtaking,Slight Injury
Unknown,Employee,5-10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
Unknown,Employee,1-2yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Driving carelessly,Serious Injury
Unknown,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,,,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
Unknown,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Other,na,na,No priority to vehicle,Slight Injury
Unknown,Employee,Below 1yr,Office areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,18-30,No priority to vehicle,Slight Injury
Unknown,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Reversing,Pedestrian,Under 18,No distancing,Slight Injury
Over 51,Owner,1-2yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,5,Moving Backward,Slight Injury
31-50,Owner,5-10yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Reversing,Passenger,31-50,No distancing,Slight Injury
18-30,Employee,2-5yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,na,na,Changing lane to the left,Slight Injury
31-50,Employee,2-5yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,31-50,Changing lane to the left,Slight Injury
Over 51,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,,na,na,No priority to pedestrian,Slight Injury
Unknown,Employee,Above 10yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Passenger,Under 18,No distancing,Slight Injury
18-30,Employee,2-5yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,No priority to vehicle,Slight Injury
Over 51,Employee,5-10yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Unknown,Collision with roadside objects,3,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
Unknown,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,3,1,Moving Backward,na,na,No distancing,Slight Injury
Unknown,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Collision with pedestrians,3,1,Going straight,Driver or rider,Over 51,Getting off the vehicle improperly,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,No priority to pedestrian,Slight Injury
Over 51,Employee,Below 1yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr, Church areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,No distancing,Slight Injury
Over 51,Owner,5-10yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,na,na,Driving carelessly,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,18-30,No distancing,Slight Injury
18-30,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,,,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,Overtaking,Slight Injury
31-50,Owner,5-10yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,2,3,Going straight,Passenger,Over 51,Driving carelessly,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,3,Moving Backward,Driver or rider,18-30,Moving Backward,Slight Injury
Over 51,,,Office areas,Two-way (divided with broken lines road marking),X Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Over 51,No distancing,Slight Injury
31-50,,,Other,Two-way (divided with broken lines road marking),X Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Overtaking,Slight Injury
18-30,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,31-50,Driving carelessly,Slight Injury
Under 18,Employee,1-2yr,,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Moving Backward,Slight Injury
31-50,Employee,Above 10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
Over 51,Employee,1-2yr,Residential areas,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Driving to the left,Slight Injury
Over 51,Owner,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr,  Recreational areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,No distancing,Slight Injury
Unknown,Employee,1-2yr,Office areas,other,No junction,,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,31-50,No distancing,Slight Injury
18-30,Employee,1-2yr, Industrial areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,,,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,3,Other,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,2-5yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
